in_channels,out_channels,kernel_size,stride,groups,hw
480,480,3,2,30,7
480,480,1,1,1,7
480,120,1,1,1,7
120,480,1,1,1,7
496,496,3,1,31,14
496,496,3,2,31,14
496,496,1,1,1,14
496,124,1,1,1,14
124,496,1,1,1,14
496,496,3,1,31,7
496,496,3,2,31,7
496,496,1,1,1,7
496,124,1,1,1,7
124,496,1,1,1,7
512,512,3,1,32,14
512,512,3,2,32,14
512,512,1,1,1,14
512,128,1,1,1,14
128,512,1,1,1,14
512,512,3,1,32,7
512,512,3,2,32,7
512,512,1,1,1,7
512,128,1,1,1,7
128,512,1,1,1,7
528,528,3,1,33,14
528,528,3,2,33,14
528,528,1,1,1,14
528,132,1,1,1,14
132,528,1,1,1,14
528,528,3,1,33,7
528,528,3,2,33,7
528,528,1,1,1,7
528,132,1,1,1,7
132,528,1,1,1,7
